"","SY1_sedi_F","SY2_sedi_F","CJ1_sedi_N","CJ1_sedi_F","LG1_sedi_N","LG1_sedi_F","LG2_sedi_N","LG2_sedi_F","WC1_sedi_N","WC1_sedi_F","WC2_sedi_N","WC2_sedi_F","S1B","S2A","S2B","S22A","S22B","S3A","S3B","S4B","S6A","S6B","S7B","S8A","S8B","S9A","S9B","S10A","S10B","S11A","S11B","S12B","S13A","S13B","S14A","S14B","CJ1_B_Wt","CJ1_S_Wt","LG1_B_Wt","LG1_S_Wt","LG2_S_Wt","SY1_B_Wt","SY1_S_Wt","SY2_B_Wt","SY2_S_Wt","WC1_B_Wt","WC1_S_Wt","WC2_B_Wt","WC2_S_Wt","W18_Wt","W19_Wt","W20_Wt","W21_Wt","W22_Wt","W23_Wt","W24_Wt","W25_Wt","W26_Wt","W27_Wt","W28_Wt","W29_Wt","W30_Wt","W31_Wt","W32_Wt","W33_Wt","W34_Wt","W35_Wt","W36_Wt","W37_Wt","W38_Wt","W39_Wt","W40_Wt","W41_Wt","W42_Wt","W43_Wt","W44_Wt","W45_Wt","Kingdom","Phylum","Class","Order","Family","Genus","taxon"
"DJ_BAC_ASV_3494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,21,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","uncultured","Planctomycetota"
"DJ_BAC_ASV_17143",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Rhodopirellula","Planctomycetota"
"HHN_BAC_ASV_606",0,0,10,15,0,0,7,0,13,16,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,16,0,6,4,0,0,13,0,26,30,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Ornithobacterium","Bacteroidota"
"HHN_BAC_ASV_610",199,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,9,0,0,0,0,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermacoccaceae","Kytococcus","Actinobacteriota"
"DJ_BAC_ASV_3495",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Desulfobacterota","Syntrophobacteria","Syntrophobacterales","uncultured","uncultured_ge","Desulfobacterota"
"DJ_BAC_ASV_3496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,46,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","NB1-j","NB1-j_cl","NB1-j_or","NB1-j_fa","NB1-j_ge","NB1-j"
"DJ_BAC_ASV_3497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetota","OM190","OM190_or","OM190_fa","OM190_ge","Planctomycetota"
"HHN_BAC_ASV_613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,26,7,6,0,0,0,18,0,114,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Planctomycetota","OM190","OM190_or","OM190_fa","OM190_ge","Planctomycetota"
"DJ_BAC_ASV_3498",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Patescibacteria","ABY1","Candidatus_Uhrbacteria","Candidatus_Uhrbacteria_fa","Candidatus_Uhrbacteria_ge","Patescibacteria"
"HHN_BAC_ASV_617",7,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,16,9,17,15,20,0,8,0,9,20,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Cytophagales_unclassified","Cytophagales_unclassified","Bacteroidota"
