"","SY1_sedi_F","SY2_sedi_F","CJ1_sedi_N","CJ1_sedi_F","LG1_sedi_N","LG1_sedi_F","LG2_sedi_N","LG2_sedi_F","WC1_sedi_N","WC1_sedi_F","WC2_sedi_N","WC2_sedi_F","S1A","S1B","S2A","S2B","S22A","S22B","S3A","S3B","S4B","S6A","S6B","S7B","S8A","S8B","S9A","S9B","S10A","S10B","S11A","S11B","S12B","S13A","S13B","S14A","S14B","CJ1_B_Wt","CJ1_S_Wt","LG1_B_Wt","LG1_S_Wt","LG2_S_Wt","SY1_B_Wt","SY1_S_Wt","SY2_B_Wt","SY2_S_Wt","WC1_B_Wt","WC1_S_Wt","WC2_B_Wt","WC2_S_Wt","W18_Wt","W19_Wt","W20_Wt","W21_Wt","W22_Wt","W23_Wt","W24_Wt","W25_Wt","W26_Wt","W27_Wt","W28_Wt","W29_Wt","W30_Wt","W31_Wt","W32_Wt","W33_Wt","W34_Wt","W35_Wt","W36_Wt","W37_Wt","W38_Wt","W39_Wt","W40_Wt","W41_Wt","W42_Wt","W43_Wt","W44_Wt","W45_Wt","Kingdom","Phylum","Class","Order","Family","Genus","taxon"
"DJ_FUN_ASV_8458",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,"Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"DJ_FUN_ASV_2056",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,82,32,0,0,0,0,0,0,0,0,16,0,0,72,0,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Protalveolata","Syndiniales","Syndiniales_or","Syndiniales_Group_I","Syndiniales_Group_I_ge","Protalveolata"
"HHN_FUN_ASV_1408",0,0,0,0,0,0,0,0,0,32,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Gymnodinium_clade_unclassified","Dinoflagellata"
"DJ_FUN_ASV_20810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae_or","Bacillariophyceae_fa","Bacillariophyceae_fa_unclassified","Diatomea"
"DJ_FUN_ASV_5482",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,"Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"DJ_FUN_ASV_2058",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,2,0,0,43,0,0,"Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodiniphycidae_fa","Amphidinium","Dinoflagellata"
"DJ_FUN_ASV_5483",0,0,19,38,0,211,16,0,0,73,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified","Eukaryota_unclassified"
"HHN_FUN_ASV_5380",0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae_or","Bacillariophyceae_fa","Bacillariophyceae_fa_unclassified","Diatomea"
"HHN_FUN_ASV_1414",0,0,3,0,112,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Protalveolata","Colpodellida","Colpodellida_or","Colpodellida_fa","Colpodellida_ge","Protalveolata"
"DJ_FUN_ASV_5484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Eukaryota","Diatomea","Bacillariophyceae","Bacillariophyceae_or","Bacillariophyceae_fa","Amphora","Diatomea"
